,GEOID,B02001e1,B03002e1,B03002e3,B03002e4,B03002e5,B03002e6,B03002e12,B17017e1,B17017e2,B19001e1,B19001e2,B19001e3,B19001e4,B19001e5,B19001e6,B19001e7,B19001e8,B19001e9,B19001e10,B19001e11,B19001e12,B19001e13,B19001e14,B19001e15,B19001e16,B19001e17,B19013e1,B25001e1,B25002e1,B25002e2,B25002e3,B25003e1,B25003e2,B25003e3,B25004e1,B25004e2,B25004e3,B25004e4,B25004e5,B25004e6,B25004e7,B25004e8,B25063e1,B25063e2,B25063e3,B25063e4,B25063e5,B25063e6,B25063e7,B25063e8,B25063e9,B25063e10,B25063e11,B25063e12,B25063e13,B25063e14,B25063e15,B25063e16,B25063e17,B25063e18,B25063e19,B25063e20,B25063e21,B25063e22,B25063e23,B25063e24,B25064e1,B25075e1,B25075e2,B25075e3,B25075e4,B25075e5,B25075e6,B25075e7,B25075e8,B25075e9,B25075e10,B25075e11,B25075e12,B25075e13,B25075e14,B25075e15,B25075e16,B25075e17,B25075e18,B25075e19,B25075e20,B25075e21,B25075e22,B25075e23,B25075e24,B25075e25,B25077e1
661,14000US36047038300,4509,4509,119,3669,0,37,625,1629,280,1629,160,111,61,62,156,75,75,17,82,51,148,205,158,77,129,62,57835.0,1886,1886,1629,257,1629,611,1018,257,104,0,0,104,0,0,49,1018,931,0,0,0,0,0,9,0,23,0,0,9,0,15,0,0,105,100,163,242,170,95,87,1293.0,611,8,0,0,0,0,0,0,0,9,0,37,0,8,0,0,0,0,0,0,67,104,346,22,10,552400.0
662,14000US36047038500,3404,3404,152,2407,0,77,706,1388,396,1388,232,138,187,15,57,59,18,87,63,124,145,128,44,47,9,35,38333.0,1677,1677,1388,289,1388,353,1035,289,135,0,96,9,0,0,49,1035,1026,0,0,0,9,39,55,0,0,0,55,61,19,39,14,19,58,100,231,143,129,55,9,1049.0,353,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,21,53,25,198,34,0,570100.0
663,14000US36047038600,3494,3494,1453,5,0,1444,574,1188,181,1188,43,91,90,136,85,60,35,73,66,68,241,59,45,59,37,0,43603.0,1289,1289,1188,101,1188,668,520,101,0,0,27,30,0,0,44,520,490,0,0,0,7,0,0,0,0,0,0,0,0,11,0,0,29,29,216,97,95,6,30,1196.0,668,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,125,128,313,79,7,551900.0
664,14000US36047038700,3951,3951,215,2548,5,325,850,1399,413,1399,186,129,41,152,194,90,85,60,61,49,110,118,42,41,19,22,29882.0,1595,1595,1399,196,1399,290,1109,196,129,0,0,15,0,0,52,1109,1054,0,0,0,18,69,27,0,15,9,62,12,20,15,105,54,61,49,233,146,147,12,55,1012.0,290,7,0,0,0,0,0,0,38,0,0,0,15,0,8,0,0,0,13,0,68,51,57,33,0,394100.0
665,14000US36047038800,4122,4122,3311,39,0,245,293,1436,257,1436,159,98,65,42,110,42,40,116,87,117,70,218,86,37,71,78,47616.0,1528,1528,1436,92,1436,699,737,92,29,0,0,0,11,0,52,737,685,0,0,0,0,8,9,15,0,0,0,0,10,8,0,11,25,47,187,142,171,52,52,1290.0,699,0,0,0,0,9,0,0,0,0,9,0,0,0,61,0,0,0,49,40,31,75,255,85,85,574000.0
666,14000US36047038900,3331,3331,472,179,0,187,2329,1131,414,1131,197,72,81,44,90,41,22,56,0,97,132,102,58,61,41,37,43326.0,1229,1229,1131,98,1131,391,740,98,0,17,16,0,0,0,65,740,740,0,0,0,10,13,18,34,22,0,23,0,19,0,0,3,33,133,95,106,165,66,0,1163.0,391,0,0,0,0,0,0,0,0,0,0,11,0,0,0,8,0,27,10,129,63,62,53,18,10,316700.0
667,14000US36047039000,2318,2318,2099,0,12,172,35,791,106,791,25,28,83,56,76,27,44,51,71,41,60,56,44,30,45,54,45320.0,931,931,791,140,791,513,278,140,11,0,31,21,11,0,66,278,256,0,0,0,0,0,0,0,34,0,0,0,5,12,0,0,5,35,57,45,38,25,22,1162.0,513,5,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,10,76,9,54,46,190,42,53,537500.0
668,14000US36047039100,3187,3187,318,367,0,136,2282,1031,364,1031,164,105,107,33,27,23,85,52,26,21,157,109,80,25,6,11,37841.0,1072,1072,1031,41,1031,163,868,41,0,0,0,0,11,0,30,868,853,0,0,0,60,27,0,10,0,4,0,13,0,0,26,66,32,72,253,71,97,122,15,1115.0,163,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,50,26,6,66,0,0,363500.0
669,14000US36047039200,2714,2714,2103,49,0,327,212,1012,209,1012,130,69,64,89,59,84,65,26,54,83,85,110,64,14,16,0,35550.0,1103,1103,1012,91,1012,379,633,91,50,0,24,0,9,0,8,633,575,0,0,0,0,0,0,0,0,0,46,7,9,8,24,16,9,44,163,115,92,42,58,1191.0,379,12,0,0,5,0,0,0,0,0,0,0,22,8,0,0,12,0,3,8,0,14,240,17,38,609900.0
670,14000US36047039300,3768,3768,575,964,0,69,2157,1238,261,1238,110,99,63,67,38,17,19,59,69,93,142,191,69,66,115,21,54583.0,1393,1393,1238,155,1238,303,935,155,20,0,0,0,0,0,135,935,913,0,0,0,73,22,23,0,0,0,15,0,34,8,43,27,102,29,112,106,205,114,22,1180.0,303,0,0,0,0,0,0,0,0,0,0,23,0,0,0,12,0,0,25,6,60,57,100,20,0,444700.0
