,GEOID,year,m_income,m_inc_group,med3_over_total,m_rent,m_rent_group,med3_rent,m_own,m_own_group,med3_own,perc_white,perc_poverty,perc_o25_ed,owner_occ,rent_occ,rent_vac,temp_vac,other_vac
1950,14000US36081099704,2012,67554.0,10,0.34405483785921437,1590.0,19,0.7666195190947667,299900.0,18,0.629156010230179,0.6595889478698789,0.08858423411547588,0.7541918175720993,0.6033950617283951,0.3721707818930041,0.0,0.008487654320987654,0.01594650205761317
1951,14000US36081099705,2012,96528.0,11,0.1864406779661017,2001.0,20,1.0,620800.0,21,0.9132947976878613,0.48628335212326196,0.06081754735792622,0.8143899895724713,0.6234234234234234,0.2801801801801802,0.04234234234234234,0.0,0.05405405405405406
1952,14000US36081099801,2012,51678.0,9,0.28197017623136017,1115.0,17,0.7325905292479109,419200.0,20,0.8777777777777778,0.07684529828109202,0.20605512878445548,0.45143513203214697,0.14342629482071714,0.7382470119521912,0.07290836653386454,0.015537848605577689,0.029880478087649404
1953,14000US36081099802,2012,20953.0,3,0.14827995255041518,547.0,9,0.03097530347425701,448700.0,20,0.816,0.3006856023506366,0.34677738236457095,0.5088367185439198,0.043044077134986224,0.8278236914600551,0.06955922865013774,0.012741046831955923,0.046831955922865015
1955,14000US36081100801,2012,81917.0,11,0.3593984962406015,1149.0,17,0.7333333333333333,469000.0,20,0.778,0.25208175624526874,0.16691729323308271,0.7178750897343862,0.6925207756232687,0.22853185595567868,0.0,0.030470914127423823,0.04847645429362881
1956,14000US36081100802,2012,60266.0,10,0.3906840117498951,1264.0,18,0.6883614088820827,480500.0,20,0.8214990138067061,0.14275256222547583,0.24884599244649602,0.6030289123451125,0.38658025162028214,0.5219214639725506,0.0484178421654594,0.0,0.04308044224170797
1957,14000US36081101001,2012,35729.0,6,0.19912839423399262,1007.0,17,0.41438788388725284,450500.0,20,0.9112627986348123,0.27234328501487953,0.3348977539389876,0.3617427253935443,0.17015098722415795,0.695993031358885,0.07897793263646923,0.008420441347270616,0.04645760743321719
1958,14000US36081101002,2012,21474.0,3,0.13431876606683804,965.0,16,0.3284403669724771,655700.0,21,0.7424892703862661,0.7529196244561484,0.42609254498714655,0.5716516985552519,0.28021647624774504,0.6554419723391461,0.029464822609741433,0.0,0.03487672880336741
1959,14000US36081101700,2012,61715.0,10,0.29404309252217997,1030.0,17,0.36503856041131105,451500.0,20,0.4204724409448819,0.7235436056532231,0.07097591888466413,0.5606949988260155,0.7470588235294118,0.1811764705882353,0.044313725490196076,0.005490196078431373,0.02196078431372549
1960,14000US36081102900,2012,79007.0,11,0.44363341443633414,1787.0,19,0.9023941068139963,642300.0,21,0.766566265060241,0.5399730820995963,0.040551500405515,0.5406593406593406,0.4918518518518519,0.42148148148148146,0.022222222222222223,0.04148148148148148,0.022962962962962963
1961,14000US36081103201,2012,23893.0,3,0.178060413354531,951.0,16,0.4398148148148148,416100.0,20,0.7977207977207977,0.0559639158035416,0.4175940646528882,0.2752464694910738,0.16997578692493948,0.7438256658595641,0.036803874092009685,0.0,0.049394673123486686
1962,14000US36081103202,2012,58684.0,9,0.18817787418655096,1212.0,17,0.5453744493392071,492300.0,20,0.5909732016925247,0.4586963051967558,0.16052060737527116,0.48975741239892184,0.3632172131147541,0.5814549180327869,0.02151639344262295,0.006147540983606557,0.027663934426229508
