,GEOID,perc_black,perc_hispanic,perc_asian,m_age,perc_male,perc_female
1758,14000US36081055500,0.0516243880729862,0.7534490431686693,0.7534490431686693,32.7,0.5425011125945706,0.4574988874054295
1759,14000US36081055600,0.10839160839160839,0.2505827505827506,0.2505827505827506,43.7,0.48445998445998445,0.5155400155400155
1760,14000US36081055700,0.012069851052901901,0.5729327170005136,0.5729327170005136,33.9,0.49640472521828455,0.5035952747817155
1761,14000US36081055800,0.13454146073585943,0.2943437671609006,0.2943437671609006,47.8,0.5178473366282262,0.48215266337177376
1762,14000US36081055900,0.019867549668874173,0.8364238410596027,0.8364238410596027,29.2,0.4688741721854305,0.5311258278145695
1763,14000US36081056000,0.16911250873515024,0.17120894479385046,0.17120894479385046,41.5,0.4723969252271139,0.527603074772886
1764,14000US36081056100,0.2692307692307692,0.3525641025641026,0.3525641025641026,34.2,0.5,0.5
1765,14000US36081056200,0.08408408408408409,0.46306306306306305,0.46306306306306305,36.1,0.5513513513513514,0.4486486486486487
1766,14000US36081056400,0.16981132075471697,0.26186392224128074,0.26186392224128074,39.7,0.5025728987993139,0.4974271012006861
1767,14000US36081056500,0.008717310087173101,0.8026151930261519,0.8026151930261519,30.6,0.5174346201743462,0.4825653798256538
1768,14000US36081056600,0.15082315454062667,0.39352097716409984,0.39352097716409984,37.0,0.5231014338821031,0.476898566117897
1769,14000US36081056700,0.023244668104481187,0.6019650131799664,0.6019650131799664,36.8,0.5226455787203451,0.47735442127965494
1770,14000US36081056800,0.6614754098360656,0.20922131147540984,0.20922131147540984,38.6,0.4959016393442623,0.5040983606557377
1771,14000US36081057700,0.0,0.3675496688741722,0.3675496688741722,34.2,0.5048395313295976,0.4951604686704024
1772,14000US36081057900,0.0029940119760479044,0.35449101796407184,0.35449101796407184,36.7,0.4359281437125748,0.5640718562874252
1773,14000US36081058000,0.8366827059156524,0.10897254457967732,0.10897254457967732,41.0,0.4440984998584772,0.5559015001415227
1774,14000US36081058100,0.013106624158696423,0.4314558979808714,0.4314558979808714,37.1,0.4962805526036132,0.5037194473963869
1775,14000US36081058200,0.8075213041867358,0.08632826972952945,0.08632826972952945,37.8,0.4770285290848462,0.5229714709151537
1776,14000US36081058300,0.04503956177723676,0.4424832623250152,0.4424832623250152,36.1,0.47413268411442483,0.5258673158855751
1777,14000US36081058500,0.002591792656587473,0.4742980561555076,0.4742980561555076,35.7,0.4978401727861771,0.5021598272138229
1778,14000US36081058700,0.0232863233847163,0.16038045260741227,0.16038045260741227,38.2,0.48573302722204004,0.51426697277796
1779,14000US36081058900,0.00716580182851495,0.4282184334074623,0.4282184334074623,31.3,0.4855448480355819,0.514455151964418
1780,14000US36081059000,0.8979180658159839,0.06648757555406314,0.06648757555406314,43.7,0.4801880456682337,0.5198119543317663
1781,14000US36081059100,0.011491806767397318,0.4705256437539902,0.4705256437539902,36.3,0.4794637156841881,0.5205362843158119
1782,14000US36081059200,0.908851884312007,0.03768624014022787,0.03768624014022787,45.1,0.4750219106047327,0.5249780893952674
1783,14000US36081059300,0.027615910818343047,0.25310362300481376,0.25310362300481376,37.6,0.4821383329110717,0.5178616670889283
1784,14000US36081059400,0.8933823529411765,0.013480392156862746,0.013480392156862746,44.3,0.4411764705882353,0.5588235294117647
1785,14000US36081059500,0.04261297120112386,0.35822992273472254,0.35822992273472254,35.6,0.47553266214001405,0.524467337859986
1786,14000US36081059600,0.9822718319107026,0.005252790544977019,0.005252790544977019,41.6,0.5082074852265266,0.4917925147734734
1787,14000US36081059800,0.8294183445190156,0.0883668903803132,0.0883668903803132,40.0,0.4541387024608501,0.5458612975391499
