,GEOID,perc_black,perc_hispanic,perc_asian,m_age,perc_male,perc_female,year
71,14000US36005013000,0.0,0.3824975417895772,0.3824975417895772,49.0,0.5811209439528023,0.41887905604719766,2012
72,14000US36005013100,0.3249804228660924,0.6262725137039937,0.6262725137039937,30.7,0.46417384494909947,0.5358261550509006,2012
73,14000US36005013200,0.05387059503177354,0.5358174465626805,0.5358174465626805,39.8,0.48223570190641246,0.5177642980935875,2012
74,14000US36005013300,0.36061419200954087,0.6282051282051282,0.6282051282051282,31.5,0.4660107334525939,0.5339892665474061,2012
75,14000US36005013500,0.31973355537052456,0.6208714959755759,0.6208714959755759,31.1,0.43047460449625313,0.5695253955037469,2012
76,14000US36005013800,0.039724741945573974,0.21989365029715358,0.21989365029715358,40.8,0.534563653425086,0.465436346574914,2012
77,14000US36005014100,0.34454756380510443,0.615139211136891,0.615139211136891,30.3,0.3996519721577726,0.6003480278422274,2012
78,14000US36005014300,0.39615846338535415,0.5882352941176471,0.5882352941176471,30.2,0.4141656662665066,0.5858343337334934,2012
79,14000US36005014400,0.37523242841204907,0.5425808850873931,0.5425808850873931,31.0,0.4070286351803645,0.5929713648196355,2012
80,14000US36005014500,0.44235178512938095,0.5266950540452014,0.5266950540452014,25.0,0.4626596790042581,0.5373403209957419,2012
81,14000US36005014701,0.5271331058020478,0.4590443686006826,0.4590443686006826,27.6,0.36228668941979525,0.6377133105802048,2012
82,14000US36005014702,0.4289919058130979,0.5625459896983076,0.5625459896983076,25.8,0.47148638704930096,0.5285136129506991,2012
83,14000US36005014900,0.36919203479056995,0.5751888303959716,0.5751888303959716,31.2,0.4998855573357748,0.5001144426642252,2012
84,14000US36005015100,0.39916169595357087,0.5797194905690795,0.5797194905690795,30.8,0.45590843140415926,0.5440915685958407,2012
85,14000US36005015200,0.07463853067604533,0.5056662758890191,0.5056662758890191,40.8,0.4243845252051583,0.5756154747948418,2012
86,14000US36005015300,0.4368742368742369,0.5518925518925519,0.5518925518925519,24.7,0.4288156288156288,0.5711843711843712,2012
87,14000US36005015500,0.14116285796933759,0.8417703210876483,0.8417703210876483,28.1,0.5606016777552791,0.43939832224472086,2012
88,14000US36005015700,0.2939508506616257,0.632955261499685,0.632955261499685,25.3,0.43383742911153117,0.5661625708884688,2012
89,14000US36005015800,0.11502347417840375,0.4209702660406886,0.4209702660406886,36.8,0.5211267605633803,0.4788732394366197,2012
90,14000US36005015900,0.04122497055359246,0.9575971731448764,0.9575971731448764,28.2,0.4138201806046329,0.5861798193953671,2012
91,14000US36005016000,0.030617283950617285,0.24074074074074073,0.24074074074074073,43.2,0.5404938271604939,0.4595061728395062,2012
92,14000US36005016100,0.17969610218013654,0.7996036115393085,0.7996036115393085,32.6,0.4443955075974455,0.5556044924025545,2012
93,14000US36005016200,0.03758542141230068,0.2875854214123007,0.2875854214123007,40.1,0.3792710706150342,0.6207289293849658,2012
94,14000US36005016400,0.013793103448275862,0.2876847290640394,0.2876847290640394,43.9,0.48669950738916257,0.5133004926108374,2012
95,14000US36005016500,0.5104895104895105,0.4864024864024864,0.4864024864024864,24.5,0.5578865578865578,0.4421134421134421,2012
96,14000US36005016600,0.002951096121416526,0.5130691399662732,0.5130691399662732,37.4,0.4881956155143339,0.5118043844856661,2012
97,14000US36005016700,0.5667886550777677,0.41674290942360476,0.41674290942360476,28.8,0.4322964318389753,0.5677035681610247,2012
98,14000US36005016900,0.5054566341183228,0.47731188971855254,0.47731188971855254,30.2,0.424468696151637,0.575531303848363,2012
99,14000US36005017300,0.39799278657676024,0.5308138623177042,0.5308138623177042,30.5,0.49882389838482044,0.5011761016151796,2012
100,14000US36005017500,0.40121366073948633,0.5821337849280271,0.5821337849280271,29.2,0.4705052215636466,0.5294947784363534,2012
101,14000US36005017701,0.2770692673168292,0.6769192298074519,0.6769192298074519,36.2,0.48537134283570893,0.5146286571642911,2012
102,14000US36005017702,0.3208205128205128,0.6562051282051282,0.6562051282051282,27.8,0.49353846153846154,0.5064615384615384,2012
103,14000US36005017901,0.23301753678693812,0.7587180004031445,0.7587180004031445,32.5,0.4650272122555936,0.5349727877444064,2012
